year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,ADM3_NAME,ADM3_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,BGD,Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Amtali,BD100409,142076,126963,269039,11119,11814,11316,8009,10862,12437,12133,10899,9280,9480,8942,7519,5956,4482,3280,2352,2196,11341,11967,12103,8604,8283,9213,10175,9640,7956,7115,6668,6307,5612,4562,3320,2166,1931,22460,23781,23419,16613,19145,21650,22308,20539,17236,16595,15610,13826,11568,9044,6600,4518,4127
2022,BGD,Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Bamna,BD100419,45359,41953,87312,3361,3606,3365,2903,3448,3966,3797,3467,2998,3276,2817,2603,1875,1524,1034,680,639,3343,3631,3629,3259,3014,3167,3208,3110,2668,2652,2277,2371,1762,1406,1084,761,611,6704,7237,6994,6162,6462,7133,7005,6577,5666,5928,5094,4974,3637,2930,2118,1441,1250
2022,BGD,Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Barguna Sadar,BD100428,144335,131271,275606,10602,10863,10945,8918,10954,12726,12390,11695,9589,10484,9154,7427,6001,4504,3425,2459,2199,10916,10852,12274,9764,8661,9573,10153,9988,8553,8137,7205,7021,5781,4757,3305,2318,2013,21518,21715,23219,18682,19615,22299,22543,21683,18142,18621,16359,14448,11782,9261,6730,4777,4212
2022,BGD,Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Betagi,BD100447,58208,50607,108815,3924,4497,4611,3707,3758,4395,4682,4485,4414,4450,4047,3083,2797,1943,1513,958,944,4179,4643,4953,3999,2878,3004,3226,3362,3197,3340,3115,2772,2629,2030,1418,1035,827,8103,9140,9564,7706,6636,7399,7908,7847,7611,7790,7162,5855,5426,3973,2931,1993,1771
2022,BGD,Bangladesh,BD,Barisal,BD10,Barguna,BD1004,Patharghata,BD100485,82423,75093,157516,6237,6123,6081,5521,6714,7179,6911,6313,5599,5613,4915,4167,3272,2738,2055,1470,1515,6228,6176,6540,5554,5465,5811,5690,5477,4952,4705,4223,3889,3128,2623,1963,1424,1245,12465,12299,12621,11075,12179,12990,12601,11790,10551,10318,9138,8056,6400,5361,4018,2894,2760
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Agailjhara,BD100602,72196,63276,135472,5003,5565,6436,5777,5018,5213,5419,5519,4791,4857,4097,3728,3095,2822,1950,1532,1374,4974,5686,6527,5846,4626,4146,3863,3889,4024,4122,3488,3293,2500,2420,1665,1319,888,9977,11251,12963,11623,9644,9359,9282,9408,8815,8979,7585,7021,5595,5242,3615,2851,2262
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Babuganj,BD100603,67993,58703,126696,4610,4896,6134,5701,4590,4725,5036,5228,4783,4739,4293,3291,3251,2139,2048,1202,1327,4604,5164,6242,5732,4152,3475,3334,3474,3584,3692,3415,2866,2916,2107,1860,1044,1042,9214,10060,12376,11433,8742,8200,8370,8702,8367,8431,7708,6157,6167,4246,3908,2246,2369
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Bakerganj,BD100607,141679,118658,260337,10432,11331,12523,10448,9207,9796,10948,10501,9407,9976,9407,7751,6545,5040,3599,2522,2246,10366,11551,12686,9952,7063,6827,6999,7215,7343,7236,6693,6395,5780,4954,3446,2389,1763,20798,22882,25209,20400,16270,16623,17947,17716,16750,17212,16100,14146,12325,9994,7045,4911,4009
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Banari Para,BD100610,71150,64607,135757,4949,5428,6197,5311,5031,5199,5498,5259,4931,4966,4246,3633,3100,2665,1937,1462,1338,5160,5480,6557,5534,4658,4190,4157,4261,4092,4154,3767,3355,2765,2384,1846,1249,998,10109,10908,12754,10845,9689,9389,9655,9520,9023,9120,8013,6988,5865,5049,3783,2711,2336
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Gaurnadi,BD100632,99070,89074,188144,7008,7639,8987,7917,7641,7537,7561,7217,6720,6625,5958,4561,4222,3064,2788,1778,1847,7046,8043,9083,8115,6978,6081,5606,5476,5538,5327,4904,4279,4016,3089,2523,1618,1352,14054,15682,18070,16032,14619,13618,13167,12693,12258,11952,10862,8840,8238,6153,5311,3396,3199
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Hizla,BD100636,58497,55140,113637,5798,6293,6023,4725,4553,4238,3958,3492,3661,3379,3377,2406,2261,1484,1289,690,870,5864,6547,6256,4874,3830,3783,3510,3147,2872,2559,2775,2099,2448,1608,1531,684,753,11662,12840,12279,9599,8383,8021,7468,6639,6533,5938,6152,4505,4709,3092,2820,1374,1623
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Barisal Sadar (Kotwali),BD100651,290844,286551,577395,20339,20939,24965,27067,26023,24863,24308,22914,19109,19532,15669,12980,10451,7919,5905,4045,3816,21101,21788,26226,27768,27605,22666,21489,20940,18808,17951,14918,13128,10861,8565,5994,3877,2866,41440,42727,51191,54835,53628,47529,45797,43854,37917,37483,30587,26108,21312,16484,11899,7922,6682
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Mehendiganj,BD100662,148318,133740,282058,13096,14540,14653,12026,10798,10632,10663,9714,9313,9297,8956,6794,6415,4111,3337,1881,2092,13254,14815,14405,11539,8591,8346,8296,7964,7643,6969,7352,6041,6570,4483,3795,1913,1764,26350,29355,29058,23565,19389,18978,18959,17678,16956,16266,16308,12835,12985,8594,7132,3794,3856
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Muladi,BD100669,85548,71661,157209,7180,8054,8652,6587,5835,5754,6064,5921,5373,5406,5337,3712,3701,2947,2258,1263,1504,7215,8047,8010,5922,4185,4006,4050,4127,4003,3968,4049,3213,3503,2624,2380,1137,1222,14395,16101,16662,12509,10020,9760,10114,10048,9376,9374,9386,6925,7204,5571,4638,2400,2726
2022,BGD,Bangladesh,BD,Barisal,BD10,Barisal,BD1006,Wazirpur,BD100694,115606,100651,216257,8079,8842,10178,9183,8222,8315,8856,8385,7721,7817,7003,5885,5220,4016,3353,2073,2458,8288,9042,10319,9157,7258,6413,6246,6349,6148,6149,5533,4900,4674,3706,2991,1809,1669,16367,17884,20497,18340,15480,14728,15102,14734,13869,13966,12536,10785,9894,7722,6344,3882,4127
2022,BGD,Bangladesh,BD,Barisal,BD10,Bhola,BD1009,Bhola Sadar,BD100918,223550,209851,433401,21172,22299,22361,17937,17555,17204,16439,14730,12979,12816,11122,10796,8712,6859,4594,3218,2757,21511,22694,23315,19025,15053,14536,14390,13573,12050,10584,9583,8645,8134,6483,4894,2989,2392,42683,44993,45676,36962,32608,31740,30829,28303,25029,23400,20705,19441,16846,13342,9488,6207,5149
